"Data Source","World Development Indicators",

"Last Updated Date","2020-10-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bahrain","BHR","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.2050018310547","64.3339996337891","64.2900009155273","64.5169982910156","64.6800003051758","64.9530029296875","65.1900024414063","65.443000793457","65.5599975585938","65.4300003051758","65.5189971923828","65.0849990844727","64.4800033569336","63.4169998168945","62.1539993286133","60.5999984741211","59.1879997253418","57.7719993591309","57.5589981079102","56.0460014343262","56.6389999389648","56.7299995422363","56.6370010375977","56.4539985656738","56.5260009765625","56.4580001831055","56.4329986572266","56.7610015869141","57.1040000915527","57.3930015563965",
"Bahamas; The","BHS","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.4779968261719","67.7289962768555","72.4800033569336","72.0279998779297","70.9869995117188","69.6729965209961","72.411003112793","70.6689987182617","66.6650009155273","66.072998046875","66.1100006103516","66.3339996337891","69.6210021972656","65.9710006713867","64.3359985351563","65.2369995117188","66.5619964599609","68.0110015869141","67.5709991455078","67.7089996337891","68.1149978637695","67.8259963989258","68.8440017700195","69.0810012817383","70.754997253418","71.2519989013672","71.390998840332","71.2360000610352","71.9020004272461","72.3830032348633",
"Bosnia and Herzegovina","BIH","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.2770004272461","33.2960014343262","33.5320014953613","34.3050003051758","35.2309989929199","36.7169990539551","37.5999984741211","38.2089996337891","39.2960014343262","39.867000579834","40.5639991760254","41.2540016174316","41.6479988098145","41.9930000305176","42.5540008544922","42.5629997253418","40.7949981689453","40.2309989929199","41.1080017089844","42.6839981079102","44.7680015563965","42.2680015563965","43.3269996643066","44.7879981994629","43.6459999084473","42.8969993591309","43.0229988098145","43.5330009460449","43.6910018920898","43.8549995422363",
"Belarus","BLR","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.3110008239746","40.492000579834","40.8409996032715","41.3230018615723","41.6380004882813","41.6959991455078","41.7470016479492","42.0870018005371","42.2350006103516","42.4799995422363","42.8320007324219","42.9339981079102","43.0429992675781","42.8629989624023","42.7960014343262","42.7589988708496","42.7589988708496","42.5929985046387","43.1230010986328","43.1720008850098","43.1640014648438","43.5110015869141","44.0289993286133","44.4309997558594","45.1440010070801","43.6769981384277","43.8629989624023","43.0789985656738","43.4889984130859","43.898998260498",
"Belize","BLZ","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.318000793457","45.2649993896484","45.2389984130859","46.7099990844727","43.1650009155273","42.0719985961914","41.0999984741211","45.8680000305176","44.4729995727539","45.3650016784668","46.326000213623","47.1990013122559","48.548999786377","49.5660018920898","50.6440010070801","50.798999786377","51.0859985351563","51.3740005493164","51.9659996032715","52.5289993286133","52.8940010070801","53.3540000915527","53.8209991455078","54.4539985656738","54.3779983520508","53.7519989013672","55.8819999694824","56.1879997253418","56.3730010986328","56.5589981079102",
"Bermuda","BMU","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.0120010375977","34.1539993286133","34.3269996643066","34.5219993591309","34.7389984130859","34.9539985656738","35.2610015869141","35.351001739502","35.6430015563965","34.7879981994629","33.8199996948242","32.3190002441406","36.8289985656738","36.7929992675781","35.8129997253418","37.3030014038086","37.9370002746582","41.898998260498","42.0559997558594","42.1339988708496","42.0849990844727","44.2039985656738","43.7270011901855","40.8269996643066","42.1059989929199","41.5740013122559","41.9290008544922","42.140998840332","42.5470008850098","42.882999420166",
"Brazil","BRA","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.818000793457","48.6450004577637","48.7490005493164","49.0629997253418","49.1860008239746","50.0449981689453","50.2939987182617","51.0149993896484","51.3549995422363","52.0830001831055","52.7820014953613","51.8019981384277","52.1889991760254","51.2239990234375","51.5900001525879","52.4720001220703","52.5509986877441","52.4259986877441","53.1220016479492","53.9609985351563","54.681999206543","54.2099990844727","54.3720016479492","55.2400016784668","56.2809982299805","57.7540016174316","59.0180015563965","59.8419990539551","60.3019981384277","60.6640014648438",
"Barbados","BRB","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.9990005493164","66.2880020141602","68.7460021972656","68.822998046875","68.8349990844727","68.5289993286133","67.3359985351563","66.0120010375977","64.3290023803711","65.2200012207031","66.754997253418","68.3509979248047","68.9789962768555","69.8150024414063","69.8359985351563","69.4879989624023","70.0419998168945","69.7850036621094","68.7360000610352","67.6480026245117","67.7789993286133","69.0510025024414","68.2929992675781","67.0879974365234","66.7720031738281","67.1869964599609","66.9940032958984","67.2919998168945","67.6809997558594","67.9339981079102",
"Brunei Darussalam","BRN","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.322998046875","66.2409973144531","66.5630035400391","66.9029998779297","66.4550018310547","66.7929992675781","67.2969970703125","67.7149963378906","68.7750015258789","69.072998046875","69.4530029296875","69.8779983520508","70.3040008544922","70.7639999389648","71.2669982910156","71.5839996337891","72.1709976196289","72.7109985351563","73.4150009155273","73.8290023803711","74.0550003051758","74.4209976196289","74.9260025024414","75.2639999389648","75.9499969482422","76.4899978637695","76.7350006103516","76.9649963378906","77.0699996948242","77.1039962768555",
